date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:42	8044/8044	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/waypoints.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/waypoints.min.js	(from https://newcrestmining.ltd/)
07:45:42	471375/471375	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/price-slider.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/price-slider.js	(from https://newcrestmining.ltd/)
07:45:47	2576/2576	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.counterup.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.counterup.js	(from https://newcrestmining.ltd/)
07:45:54	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Nov%202020%2022:46:23%20GMT	https://fonts.googleapis.com/robots.txt		(from https://newcrestmining.ltd/)
07:46:13	107382/107382	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.themepunch.tools.min.js	(from https://newcrestmining.ltd/)
07:46:13	59876/59876	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/jquery.themepunch.revolution.min.js	(from https://newcrestmining.ltd/)
07:46:14	8090/8090	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.actions.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.actions.min.js	(from https://newcrestmining.ltd/)
07:46:26	7519/7519	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.carousel.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.carousel.min.js	(from https://newcrestmining.ltd/)
07:46:45	45397/45397	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.layeranimation.min.js	(from https://newcrestmining.ltd/)
07:46:45	3329/3329	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.kenburn.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.kenburn.min.js	(from https://newcrestmining.ltd/)
07:46:46	6104/6104	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.migration.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.migration.min.js	(from https://newcrestmining.ltd/)
07:46:46	25915/25915	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.navigation.min.js	(from https://newcrestmining.ltd/)
07:46:47	9186/9186	U-----	200	untouched ('')	application/javascript	date:Sat,%2025%20Jul%202020%2004:47:29%20GMT	https://newcrestmining.ltd/js/extensions/revolution.extension.parallax.min.js	C:/My%20Web%20Sites/newcrest/newcrestmining.ltd/js/extensions/revolution.extension.parallax.min.js	(from https://newcrestmining.ltd/)
